case	family	hex	mark	strokes	admissible	components	enum	groupEnum	groupFill	groupBox%	heightCV	pop%
nobs.jpg	family-7783	#fa6e1f	0.011	12	12	716	0.017	1.000	0.0237	17.89	0.374	0.3183
nobs.jpg	family-3284	#172e4d	0.004	23	50	1842	0.012	0.460	0.0172	37.79	0.523	0.6140
nobs.jpg	family-3789	#5c1c41	0.000	8	8	3650	0.002	1.000	0.0133	5.64	0.381	0.4690
nobs.jpg	family-7741	#dd8a06	0.003	7	7	522	0.013	1.000	0.1291	0.52	0.273	0.0872
nobs.jpg	family-7214	#57a66d	0.014	14	14	631	0.022	1.000	0.0696	8.72	0.752	0.3114
nobs.jpg	family-6497	#d11399	0.017	7	7	266	0.026	1.000	0.0130	49.47	0.790	0.1844
nobs.jpg	family-8959	#84e14a	0.028	6	6	128	0.047	1.000	0.2308	0.47	0.554	0.0669
nobs.jpg	family-8056	#41ca24	0.011	4	4	121	0.033	1.000	0.0537	2.21	0.441	0.0597
nobs.jpg	family-7675	#6eac93	0.001	4	4	457	0.009	1.000	0.1828	0.14	0.265	0.0652
nobs.jpg	family-5926	#1962ec	0.002	3	3	128	0.023	1.000	0.0032	12.32	0.627	0.0265
once.jpg	family-9921	#dddde7	0.000	20	39	1639	0.012	0.513	0.9405	65.83	2.830	38.6516
once.jpg	family-6393	#817486	0.000	24	155	3212	0.007	0.155	1.0000	100.00	3.317	30.2571
once.jpg	family-9039	#c4c2d7	0.001	24	218	2132	0.011	0.110	0.4366	69.70	2.445	6.8034
once.jpg	family-5511	#6c5f71	0.000	24	617	4634	0.005	0.039	0.3612	100.00	1.487	8.7693
once.jpg	family-7275	#988d9e	0.001	24	341	4362	0.006	0.070	0.3698	100.00	1.945	7.0133
once.jpg	family-4629	#544959	0.002	24	252	2603	0.009	0.095	0.1816	92.67	1.540	3.3252
once.jpg	family-8157	#afa7b6	0.002	24	181	2466	0.010	0.133	0.4368	94.04	2.521	3.4166
once.jpg	family-3747	#3f3442	0.011	23	37	1050	0.022	0.622	0.1271	61.67	1.541	1.4296
once.jpg	family-2865	#2c222d	0.015	15	15	362	0.041	1.000	0.0379	4.43	0.403	0.1402
orelsan.jpg	family-1962	#0c1222	0.000	23	24	255	0.090	0.958	0.9613	73.71	2.175	39.8867
orelsan.jpg	family-3726	#293949	0.000	24	75	631	0.038	0.320	0.2647	100.00	1.869	16.8841
orelsan.jpg	family-2844	#172737	0.010	24	64	471	0.051	0.375	0.5071	100.00	1.502	19.2405
orelsan.jpg	family-9041	#d7c19c	0.014	23	35	457	0.050	0.657	0.2570	55.82	0.948	5.0069
orelsan.jpg	family-4608	#404e57	0.011	23	44	677	0.034	0.523	0.0621	74.15	0.761	2.7993
orelsan.jpg	family-8159	#c0a882	0.018	23	45	492	0.047	0.511	0.1075	30.03	0.635	2.1073
orelsan.jpg	family-5512	#715e57	0.017	24	47	680	0.035	0.511	0.2012	29.37	0.693	3.2820
orelsan.jpg	family-9922	#e9dec8	0.008	16	22	311	0.051	0.727	0.1051	33.13	0.564	2.4221
orelsan.jpg	family-7696	#99a28f	0.015	24	33	581	0.041	0.727	0.0408	57.40	0.501	1.8382
orelsan.jpg	family-6814	#818a77	0.004	16	17	648	0.025	0.941	0.0432	17.98	0.932	1.4057
orelsan.jpg	family-7277	#ab8d69	0.015	20	25	490	0.041	0.800	0.0783	25.30	0.949	1.6756
orelsan.jpg	family-6394	#8b746c	0.014	19	19	465	0.041	1.000	0.0907	19.62	0.818	1.3927
orelsan.jpg	family-4189	#4e3f3c	0.016	17	17	290	0.059	1.000	0.0567	19.75	0.444	0.9888
orelsan.jpg	family-5931	#617377	0.017	8	8	157	0.051	1.000	0.0135	26.93	0.802	0.4317
orelsan.jpg	family-3307	#392a25	0.002	4	4	112	0.036	1.000	0.0072	15.79	0.273	0.2362
orelsan.jpg	family-2425	#211a12	0.012	4	4	26	0.154	1.000	0.0030	21.72	0.357	0.1021
placebo.jpg	family-6813	#6c8a8a	0.000	24	58	18203	0.001	0.414	0.5543	100.00	3.022	26.5099
placebo.jpg	family-7695	#86a5aa	0.000	24	79	10498	0.002	0.304	0.4007	94.09	2.569	18.6191
placebo.jpg	family-1963	#111312	0.000	20	27	2092	0.010	0.741	0.4594	68.21	2.756	8.0788
placebo.jpg	family-5931	#547677	0.000	16	45	19697	0.001	0.356	0.2987	87.87	2.322	9.2977
placebo.jpg	family-5049	#445e5d	0.000	23	103	17613	0.001	0.223	0.2323	82.11	2.678	7.2667
placebo.jpg	family-9041	#e0bd9f	0.000	9	10	848	0.011	0.900	0.7402	42.42	2.460	6.3829
placebo.jpg	family-8578	#b2b9b1	0.001	14	19	4473	0.003	0.737	0.0586	70.64	1.466	2.0529
placebo.jpg	family-4167	#2f4749	0.000	24	69	10880	0.002	0.348	0.0878	68.51	1.915	3.2308
placebo.jpg	family-4189	#513e2d	0.022	23	30	772	0.030	0.767	0.4062	72.21	1.547	3.4638
placebo.jpg	family-7718	#b89778	0.001	15	17	1619	0.009	0.882	1.0000	45.93	1.846	4.2282
placebo.jpg	family-2844	#19272a	0.001	24	96	6581	0.004	0.250	0.1745	70.21	1.517	2.7951
